1,44,HAMILTON,1.6
2,6,ROSBERG,1.8
3,3,RICCIARDO,3.5
4,1,VETTEL,4.8
5,14,ALONSO,5.1
6,77,BOTTAS,5.2
7,22,BUTTON,7.3
8,27,HULKENBERG,7.3
9,11,PEREZ,8.4
10,19,MASSA,8.6
11,7,RAIKKONEN,8.8
12,20,MAGNUSSEN,9.3
13,25,VERGNE,10.5
14,26,KVYAT,10.8
15,8,GROSJEAN,11.6
16,99,SUTIL,13.4
17,13,MALDONADO,13.9
18,17,BIANCHI,15.4
19,10,KOBAYASHI,15.4
20,4,CHILTON,15.9
21,21,GUTIERREZ,16
22,9,ERICSSON,17.1
1,44,HAMILTON,1.6,1.8,ROSBERG,6
2,6,ROSBERG,1.8,3.5,RICCIARDO,3
3,3,RICCIARDO,3.5,4.8,VETTEL,1
4,1,VETTEL,4.8,5.1,ALONSO,14
5,14,ALONSO,5.1,8.8,RAIKKONEN,7
6,7,RAIKKONEN,8.8,5.2,BOTTAS,77
7,77,BOTTAS,5.2,8.6,MASSA,19
8,19,MASSA,8.6,7.3,BUTTON,22
9,22,BUTTON,7.3,9.3,MAGNUSSEN,20
10,20,MAGNUSSEN,9.3,7.3,HULKENBERG,27
11,27,HULKENBERG,7.3,8.4,PEREZ,11
1,6,Mercedes,1.7
2,7,Red Bull Racing,4.1
3,10,Williams,6.7
4,1,Ferrari,7
5,2,Force India,7.8
6,5,McLaren,8.3
7,9,Torro Rosso,10.6
8,3,Lotus,12.8
9,8,Sauber,14.6
10,4,Marussia,15.6
11,0,Caterham,16.2
Finish State Limit: Finished
Position Limtit: 22
Session: Race
Sorted By: Value
Ordered: Ascending

