1,3,RICCIARDO,1
2,1,VETTEL,1
3,44,HAMILTON,1
4,14,ALONSO,3
5,6,ROSBERG,3
6,7,RAIKKONEN,4
7,20,MAGNUSSEN,4
8,22,BUTTON,5
9,25,VERGNE,6
10,8,GROSJEAN,7
11,27,HULKENBERG,7
12,13,MALDONADO,8
13,26,KVYAT,8
14,19,MASSA,9
15,77,BOTTAS,10
16,99,SUTIL,11
17,21,GUTIERREZ,12
18,11,PEREZ,14
19,10,KOBAYASHI,15
20,4,CHILTON,17
21,17,BIANCHI,18
22,9,ERICSSON,19

1,0,Red Bull Racing,1
2,4,Mercedes,1
3,1,Ferrari,3
4,2,McLaren,4
5,8,Torro Rosso,6
6,3,Lotus,7
7,6,Force India,7
8,7,Williams,9
9,5,Sauber,11
10,9,Caterham,15
11,10,Marussia,17

Sorted By: Value
Ordered: Descending

